location_name,latitude,longitude,alias,latlong
UGM,-7.771438,110.377553,Universitas Gadjah Mada,"-7.771438, 110.377553"
UNY,-7.773779,110.386384,Universitas Negeri Yogyakarta,"-7.773779, 110.386384"
UMY,-7.808792,110.320748,Universitas Muhamadiyah Yogyakarta,"-7.808792, 110.320748"
UII,-7.687784,110.413091,Universitas Islam Indonesia,"-7.687784, 110.413091"
UKDW,-7.786099,110.378701,Universitas Kristan Duta Wacana,"-7.786099, 110.378701"
UMBY,-7.763284,110.394569,Universitas Mercu Buana Yogyakarta,"-7.763284, 110.394569"
UAJY,-7.780494,110.414474,Universitas Atma Jaya Yogyakarta,"-7.780494, 110.414474"
UTY,-7.747263,110.3555,Universitas Teknologi Yogyakarta,"-7.747263, 110.355500"
UNISA,-7.768239,110.333917,Universitas Aisyah Yogyakarta,"-7.768239, 110.333917"
UPN,-7.762009,110.409464,Universitas Pembangunan Nusantara,"-7.762009, 110.409464"
UIN Suka,-7.784896,110.394593,UIN Sunan Kalijaga,"-7.784896, 110.394593"
Sandar,-7.775512,110.389605,Universitas Dharma,"-7.775512, 110.389605"
Stasiun Tugu,-7.789265,110.36426,,"-7.789265, 110.364260"
Stasiun Lempuyangan,-7.79035,110.375484,,"-7.790350, 110.375484"
Stasiun Maguwo,-7.784546,110.436741,,"-7.784546, 110.436741"
Terminal Giwangan,-7.834768,110.392258,,"-7.834768, 110.392258"
Terminal Jombor,-7.74742,110.361244,,"-7.747420, 110.361244"
Terminal Condong Catur,7.75699,110.395782,,"7.756990, 110.395782"
Terminal Ngabean,-7.801409,110.35643,,"-7.801409, 110.356430"
Tugu Yogyakarta,-7.782887,110.367116,,"-7.782887, 110.367116"
Pakuwon Mall,-7.758649,110.399355,,"-7.758649, 110.399355"
Ambarrukmo Plaza,-7.783112,110.401228,,"-7.783112, 110.401228"
Galeria Mall,-7.782964,110.37894,,"-7.782964, 110.378940"
Jogja City Mall,-7.753257,110.361085,,"-7.753257, 110.361085"
Sleman City Hall,-7.720337,110.361182,,"-7.720337, 110.361182"
Sahid J-Walk,-7.779562,110.414508,,"-7.779562, 110.414508"
Lippo Plaza,-7.783182,110.390628,,"-7.783182, 110.390628"
Transmart Maguwo,-7.783243,110.41998,,"-7.783243, 110.419980"
Jakal,-7.765574,110.378634,Jl. Kaliurang,"-7.765574, 110.378634"
Jamal,-7.78271,110.360802,Jl. Magelang,"-7.782710, 110.360802"
Palagan,-7.747555,110.372646,,"-7.747555, 110.372646"
Monjali,-7.751738,110.370968,,"-7.751738, 110.370968"
Concat,-7.757477,110.396599,Condong Catur,"-7.757477, 110.396599"
Sarkem,-7.789896,110.364984,Pasar Kembang,"-7.789896, 110.364984"
Jogteng,-7.804181,110.369268,Pojok Benteng,"-7.804181, 110.369268"
Tamsis,-7.808865,110.377352,Jl. Taman Siswa,"-7.808865, 110.377352"
Alkid,-7.81194,110.363807,Alun - Alun Kidul,"-7.811940, 110.363807"
Kaliurang,-7.747263,110.3555,Universitas Teknologi Yogyakarta,"-7.747263, 110.355500"