nama_resto,menu,harga,rank_menu
McDonald's Sleman City Hall,panas 1,35909,2
McDonald's Sleman City Hall,panas 2 + rice,53636,3
McDonald's Sleman City Hall,paket double cheeseburger,42727,4
McDonald's Sleman City Hall,mcflurry,15909,5
Pizza Hut Jakal,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Jakal,meat monsta pan pizza regular,99000,2
Pizza Hut Jakal,super supreme cheesy bites personal,61000,3
Pizza Hut Jakal,big box,210000,4
Pizza Hut Jakal,green tea yakult,28182,5
Pizza Hut Jogja City Mall,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Jogja City Mall,meat monsta pan pizza regular,99000,2
Pizza Hut Jogja City Mall,super supreme cheesy bites personal,61000,3
Pizza Hut Jogja City Mall,big box,210000,4
Pizza Hut Jogja City Mall,green tea yakult,28182,5
Pizza Hut Sudirman,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Sudirman,meat monsta pan pizza regular,99000,2
Pizza Hut Sudirman,super supreme cheesy bites personal,61000,3
Pizza Hut Sudirman,big box,210000,4
Pizza Hut Sudirman,green tea yakult,28182,5
Pizza Hut Delivery - PHD Godean,qu4rtza free beef fetuccine,149001,1
Pizza Hut Delivery - PHD Godean,double box deluxe free beef fetuccine,132000,2
Pizza Hut Delivery - PHD Godean,big box signature free beef fetuccine,176000,3
Pizza Hut Delivery - PHD Godean,mybox xl value ,55000,4
Pizza Hut Delivery - PHD Godean,2 my box value ,45000,5
Pizza Hut Delivery - PHD Colombo,qu4rtza free beef fetuccine,149001,1
Pizza Hut Delivery - PHD Colombo,double box deluxe free beef fetuccine,132000,2
Pizza Hut Delivery - PHD Colombo,big box signature free beef fetuccine,176000,3
Pizza Hut Delivery - PHD Colombo,mybox xl value ,55000,4
Pizza Hut Delivery - PHD Colombo,2 my box value ,45000,5
Pizza Hut Sultan Agung,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Sultan Agung,meat monsta pan pizza regular,99000,2
Pizza Hut Sultan Agung,super supreme cheesy bites personal,61000,3
Pizza Hut Sultan Agung,big box,210000,4
Pizza Hut Sultan Agung,green tea yakult,28182,5
Pizza Hut Ambarukmo,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Ambarukmo,meat monsta pan pizza regular,99000,2
Pizza Hut Ambarukmo,super supreme cheesy bites personal,61000,3
Pizza Hut Ambarukmo,big box,210000,4
Pizza Hut Ambarukmo,green tea yakult,28182,5
Pizza Hut Delivery - PHD Seturan,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Delivery - PHD Seturan,meat monsta pan pizza regular,99000,2
Pizza Hut Delivery - PHD Seturan,super supreme cheesy bites personal,61000,3
Pizza Hut Delivery - PHD Seturan,big box,210000,4
Pizza Hut Delivery - PHD Seturan,green tea yakult,28182,5
Pizza Hut Delivery - PHD Taman Siswa,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Delivery - PHD Taman Siswa,meat monsta pan pizza regular,99000,2
Pizza Hut Delivery - PHD Taman Siswa,super supreme cheesy bites personal,61000,3
Pizza Hut Delivery - PHD Taman Siswa,big box,210000,4
Pizza Hut Delivery - PHD Taman Siswa,green tea yakult,28182,5
Pizza Hut Delivery - PHD Jakal,frankfurter bbq stuffed crust large,158000,1
Pizza Hut Delivery - PHD Jakal,meat monsta pan pizza regular,99000,2
Pizza Hut Delivery - PHD Jakal,super supreme cheesy bites personal,61000,3
Pizza Hut Delivery - PHD Jakal,big box,210000,4
Pizza Hut Delivery - PHD Jakal,green tea yakult,28182,5
Ayam Goreng Suharti - Laksda Adisucipto,ayam goreng utuh tanpa lalap,141500,1
Ayam Goreng Suharti - Laksda Adisucipto,ayam goreng separo ,73600,2
Ayam Goreng Suharti - Laksda Adisucipto,nasi putih,9462,3
Ayam Goreng Suharti - Laksda Adisucipto,cah kangkung,39032,4
Ayam Goreng Suharti - Laksda Adisucipto,sambal ayam ,7097,5
Ayam Goreng Ny. Suharti,ayam goreng utuh tanpa lalap,141500,1
Ayam Goreng Ny. Suharti,ayam goreng separo ,73600,2
Ayam Goreng Ny. Suharti,nasi putih,9462,3
Ayam Goreng Ny. Suharti,cah kangkung,39032,4
Ayam Goreng Ny. Suharti,sambal ayam ,7097,5
Petit Paris Boulangerie and Bistro,choco croissant,27500,1
Petit Paris Boulangerie and Bistro,croissant smoke beef & cheese ,31250,2
Petit Paris Boulangerie and Bistro,danish nutella,36250,3
Petit Paris Boulangerie and Bistro,almond croissant,31250,4
Petit Paris Boulangerie and Bistro,caramel coffee latte iced ,27500,5
ChezMoi Patissier & Chocolatier Sagan,browines premium,60000,1
ChezMoi Patissier & Chocolatier Sagan,muffin fruit,50400,2
ChezMoi Patissier & Chocolatier Sagan,cream cheese,13800,3
ChezMoi Patissier & Chocolatier Sagan,spicy floss large,12000,4
ChezMoi Patissier & Chocolatier Sagan,minimix,31200,5
Kobayashi Pattiserie & Boulangerie,cheese banana cake,16300,1
Kobayashi Pattiserie & Boulangerie,choco banana cake,13800,2
Kobayashi Pattiserie & Boulangerie,lapis special keju,68800,3
Kobayashi Pattiserie & Boulangerie,cheese / choco / double roll,18800,4
Kobayashi Pattiserie & Boulangerie,lapisa surabaya,23800,5
Petit Paris Boulangerie Jakal,choco croissant,27500,1
Petit Paris Boulangerie Jakal,croissant smoke beef & cheese ,31250,2
Petit Paris Boulangerie Jakal,danish nutella,36250,3
Petit Paris Boulangerie Jakal,almond croissant,31250,4
Petit Paris Boulangerie Jakal,caramel coffee latte iced ,27500,5
ChezMoi Patissier & Chocolatier,browines premium,60000,1
ChezMoi Patissier & Chocolatier,muffin fruit,50400,2
ChezMoi Patissier & Chocolatier,cream cheese,13800,3
ChezMoi Patissier & Chocolatier,spicy floss large,12000,4
ChezMoi Patissier & Chocolatier,minimix,31200,5
Cinema Bakery,mini bear paw,10800,1
Cinema Bakery,supreme,36300,2
Cinema Bakery,mini cheese croissant,10800,3
Cinema Bakery,mini pain au choco,10800,4
Cinema Bakery,pain au choco,20200,5
Holland Bakery,pisang bollen box,57200,1
Holland Bakery,lemper ayam,10300,2
Holland Bakery,chiffon chocolate chips,84700,3
Holland Bakery,kelapa pandan pudding log ,30100,4
Holland Bakery,chiffon cake pandan,74800,5
FAVOR Patisserie Pizzeria & Eatery,tiramisu mille crepes,24000,1
FAVOR Patisserie Pizzeria & Eatery,pain au chocolate,27500,2
FAVOR Patisserie Pizzeria & Eatery,plain butter croissant,25000,3
FAVOR Patisserie Pizzeria & Eatery,chocolate croissant,31500,4
FAVOR Patisserie Pizzeria & Eatery,korean garlic bread,13000,5
Bloomery Cake & Patisserie Jakal,bundling 5,168000,1
Bloomery Cake & Patisserie Jakal,whole mix all varian,390000,2
Bloomery Cake & Patisserie Jakal,slice matcha mille crepe,36000,3
Bloomery Cake & Patisserie Jakal,slice tiramisu mille crepe,37000,4
Bloomery Cake & Patisserie Jakal,strawberry mille crepes,37000,5
The Harvest Cakes,triple chocolate 10x20,258500,1
The Harvest Cakes,chocolate tiramisu 20x10,258500,2
The Harvest Cakes,mix twin signature 20x10,269500,3
The Harvest Cakes,chocomaltine cheesecake 20x10,269500,4
The Harvest Cakes,strawberry cheesecake 20x10,346500,5
Rumah Makan RATA RATA Monjali,ayam kecap,9100,1
Rumah Makan RATA RATA Monjali,perkedel,2500,2
Rumah Makan RATA RATA Monjali,nasi putih,3750,3
Rumah Makan RATA RATA Monjali,oseng jagung muda,2600,4
Rumah Makan RATA RATA Monjali,es jeruk,3900,5
Rumah Makan Rata-rata Kinanti,ayam kecap,9100,1
Rumah Makan Rata-rata Kinanti,perkedel,2500,2
Rumah Makan Rata-rata Kinanti,nasi putih,3750,3
Rumah Makan Rata-rata Kinanti,oseng jagung muda,2600,4
Rumah Makan Rata-rata Kinanti,es jeruk,3900,5
Rumah Makan Rata Rata Jl. Kabupaten,ayam kecap,9100,1
Rumah Makan Rata Rata Jl. Kabupaten,perkedel,2500,2
Rumah Makan Rata Rata Jl. Kabupaten,nasi putih,3750,3
Rumah Makan Rata Rata Jl. Kabupaten,oseng jagung muda,2600,4
Rumah Makan Rata Rata Jl. Kabupaten,es jeruk,3900,5
Rumah Makan Rata Rata Karanggayam,ayam kecap,9100,1
Rumah Makan Rata Rata Karanggayam,perkedel,2500,2
Rumah Makan Rata Rata Karanggayam,nasi putih,3750,3
Rumah Makan Rata Rata Karanggayam,oseng jagung muda,2600,4
Rumah Makan Rata Rata Karanggayam,es jeruk,3900,5
Rumah Makan Rata Rata Seturan,ayam kecap,9100,1
Rumah Makan Rata Rata Seturan,perkedel,2500,2
Rumah Makan Rata Rata Seturan,nasi putih,3750,3
Rumah Makan Rata Rata Seturan,oseng jagung muda,2600,4
Rumah Makan Rata Rata Seturan,es jeruk,3900,5
Rumah Makan Rata Rata Kentungan,ayam kecap,9100,1
Rumah Makan Rata Rata Kentungan,perkedel,2500,2
Rumah Makan Rata Rata Kentungan,nasi putih,3750,3
Rumah Makan Rata Rata Kentungan,oseng jagung muda,2600,4
Rumah Makan Rata Rata Kentungan,es jeruk,3900,5
Rumah Makan Rata Rata Mrican,ayam kecap,9100,1
Rumah Makan Rata Rata Mrican,perkedel,2500,2
Rumah Makan Rata Rata Mrican,nasi putih,3750,3
Rumah Makan Rata Rata Mrican,oseng jagung muda,2600,4
Rumah Makan Rata Rata Mrican,es jeruk,3900,5
Rumah Makan Rata Rata Kaliurang Km 8,ayam kecap,9100,1
Rumah Makan Rata Rata Kaliurang Km 9,perkedel,2500,2
Rumah Makan Rata Rata Kaliurang Km 10,nasi putih,3750,3
Rumah Makan Rata Rata Kaliurang Km 11,oseng jagung muda,2600,4
Rumah Makan Rata Rata Kaliurang Km 12,es jeruk,3900,5
Rumah Makan Rata Rata Condong Catur,ayam kecap,9100,1
Rumah Makan Rata Rata Condong Catur,perkedel,2500,2
Rumah Makan Rata Rata Condong Catur,nasi putih,3750,3
Rumah Makan Rata Rata Condong Catur,oseng jagung muda,2600,4
Rumah Makan Rata Rata Condong Catur,es jeruk,3900,5
Rumah Makan Rata Rata Palagan,ayam kecap,9100,1
Rumah Makan Rata Rata Palagan,perkedel,2500,2
Rumah Makan Rata Rata Palagan,nasi putih,3750,3
Rumah Makan Rata Rata Palagan,oseng jagung muda,2600,4
Rumah Makan Rata Rata Palagan,es jeruk,3900,5
Fruktosa Juicebar,avocado single blend,33000,1
Fruktosa Juicebar,mango single blend,28000,2
Fruktosa Juicebar,sedona sunset,30000,3
Fruktosa Juicebar,creamy berries,32000,4
Fruktosa Juicebar,coso fun,30000,5
Jooster (Juice Bar),jus alpukat strawberry,14000,1
Jooster (Juice Bar),jus apel mangga,15000,2
Jooster (Juice Bar),jus pisang strawberry,13000,3
Jooster (Juice Bar),jus pisang oreo ,12000,4
Jooster (Juice Bar),jus nanas mangga,13000,5
Akkar Juice Bar Moses,plant bae coldpressed juices,35000,1
Akkar Juice Bar Moses,hot/ice choco almond coldpressed juices,30000,2
Akkar Juice Bar Moses,berry boost smoothie,38000,3
Akkar Juice Bar Moses,salad roll (6pcs),35000,4
Akkar Juice Bar Moses,smoked chicken salad bowl,40000,5
Akkar Juice Bar Tugu,plant bae coldpressed juices,35000,1
Akkar Juice Bar Tugu,hot/ice choco almond coldpressed juices,30000,2
Akkar Juice Bar Tugu,berry boost smoothie,38000,3
Akkar Juice Bar Tugu,salad roll (6pcs),35000,4
Akkar Juice Bar Tugu,smoked chicken salad bowl,40000,5
Jus Flamboyan,jus mangga,10000,1
Jus Flamboyan,jus alpukat,10000,2
Jus Flamboyan,jus melon,8000,3
Jus Flamboyan,jus jeruk,5000,4
Jus Flamboyan,jus jambu,8000,5
Garden Juice,jus mangga,10000,1
Garden Juice,jus alpukat,10000,2
Garden Juice,jus melon,8000,3
Garden Juice,jus jeruk,5000,4
Garden Juice,jus jambu,8000,5
Master Juice,jus melon,8000,1
Master Juice,jus mangga,12000,2
Master Juice,jus durian,10000,3
Master Juice,jus pisang,9000,4
Master Juice,salad buah 400ml,15000,5
Master Juice,sop buah biasa,10000,6
Tebu Express,tebu original small,6000,1
Tebu Express,tebu original large ,12000,2
Tebu Express,lemonade yakult series,18000,3
Tebu Express,berry blast yakult series,18000,4
Tebu Express,chocolate specialty series,20000,5
Nolda Pocha Jogja,kimchi mandu,40000,1
Nolda Pocha Jogja,korean chicken feet,59000,2
Nolda Pocha Jogja,kimchi,5000,3
Nolda Pocha Jogja,sundubu jjigae,26000,4
Nolda Pocha Jogja,fish cake soup,35000,5
WANAWATU,salmon wellingtone,189000,1
WANAWATU,rib on the hill,179000,2
WANAWATU,sunrise on the hill,40000,3
WANAWATU,wanawatu breeze,35000,4
WANAWATU,jonggrang sparkling ginger,35000,5
Suwatu By Mil & Bay,sojiwan package,150000,1
Suwatu By Mil & Bay,prambanan package,200000,2
Suwatu By Mil & Bay,orange fruit,39000,3
Suwatu By Mil & Bay,choco hazelnut,39000,4
Suwatu By Mil & Bay,green tea,39000,5
ABHAYAGIRI - Venue and Dining,curry fried rice,55000,1
ABHAYAGIRI - Venue and Dining,pisang goreng,45000,2
ABHAYAGIRI - Venue and Dining,australian sirloin 200gr,215000,3
ABHAYAGIRI - Venue and Dining,kambing rica jogjakarta,110000,4
ABHAYAGIRI - Venue and Dining,sereh blekuthuk,49000,5
Osea Resto and Bar Jogja,penne carbonara,80000,1
Osea Resto and Bar Jogja,beef ala oriental,70000,2
Osea Resto and Bar Jogja,thai mango fiesta,40000,3
Osea Resto and Bar Jogja,kimchi quesadillas ,65000,4
Osea Resto and Bar Jogja,osea secret,30000,5
Candhari Heaven,caesar salad,65000,1
Candhari Heaven,nasi goreng iga bakar prambanan,70000,2
Candhari Heaven,oxtail ribs soup,85000,3
Candhari Heaven,fish and chips,60000,4
Candhari Heaven,dragonfizz tea,35000,5
Gudeg Yu Narni Beran,nasi gudeg krecek telur,15000,1
Gudeg Yu Narni Beran,nasi gudeg krecek paha,26000,2
Gudeg Yu Narni Beran,nasi gudeg krecek + suwir,25000,3
Gudeg Yu Narni Beran,nasi gudeg krecek paha + telur,32000,4
Gudeg Yu Narni Beran,nasi gudeg krecek ati ampela + telur,28000,5
Gudeg Bu Hj. Amad,nasi gudeg krecek telur,20500,1
Gudeg Bu Hj. Amad,nasi gudeg krecek telur tahu,24000,2
Gudeg Bu Hj. Amad,nasi gudeg krecek paha,35000,3
Gudeg Bu Hj. Amad,nasi gudeg krecek ayam suwir telur,34000,4
Gudeg Bu Hj. Amad,nasi gudeg krecek ati ampela,35000,5
Gudeg Bu Djuminten,nasi gudeg telur,18000,1
Gudeg Bu Djuminten,nasi gudeg ati ampela,25000,2
Gudeg Bu Djuminten,nasi gudeg suwiran,25000,3
Gudeg Bu Djuminten,nasi gudeg suwiran + telur,30000,4
Gudeg Bu Djuminten,1 porsi gudeg + areh,25000,5
Gudeg Yu Narni Tugu,nasi gudeg krecek telur,15000,1
Gudeg Yu Narni Tugu,nasi gudeg krecek paha,26000,2
Gudeg Yu Narni Tugu,nasi gudeg krecek + suwir,25000,3
Gudeg Yu Narni Tugu,nasi gudeg krecek paha + telur,32000,4
Gudeg Yu Narni Tugu,nasi gudeg krecek ati ampela + telur,28000,5
Gudeg ayu jogja mulungan,nasi gudeg krecek telur,15000,1
Gudeg ayu jogja mulungan,nasi gudeg krecek paha,26000,2
Gudeg ayu jogja mulungan,nasi gudeg krecek + suwir,25000,3
Gudeg ayu jogja mulungan,nasi gudeg krecek paha + telur,32000,4
Gudeg ayu jogja mulungan,nasi gudeg krecek ati ampela + telur,28000,5
Gudeg Bu Cip Jakal,nasi gudeg krecek telur,15000,1
Gudeg Bu Cip Jakal,nasi gudeg krecek paha,26000,2
Gudeg Bu Cip Jakal,nasi gudeg krecek + suwir,25000,3
Gudeg Bu Cip Jakal,nasi gudeg krecek paha + telur,32000,4
Gudeg Bu Cip Jakal,nasi gudeg krecek ati ampela + telur,28000,5
Gudeg Mercon Mbak Yuni,nasi gudeg telor ayam suwir,25000,1
Gudeg Mercon Mbak Yuni,nasi gudeg paha atas,39000,2
Gudeg Mercon Mbak Yuni,nasi gudeg mercon telor,20000,3
Gudeg Mercon Mbak Yuni,sate kulit ayam,5000,4
Gudeg Mercon Mbak Yuni,krecek,5000,5
Gudeg Asli Mbok Ginuk Palagan,nasi gudeg krecek telur,15000,1
Gudeg Asli Mbok Ginuk Palagan,nasi gudeg krecek paha,26000,2
Gudeg Asli Mbok Ginuk Palagan,nasi gudeg krecek + suwir,25000,3
Gudeg Asli Mbok Ginuk Palagan,nasi gudeg krecek paha + telur,32000,4
Gudeg Asli Mbok Ginuk Palagan,nasi gudeg krecek ati ampela + telur,28000,5
Gudeg Mercon Bu Tinah,nasi gudeg krecek telur,15000,1
Gudeg Mercon Bu Tinah,nasi gudeg krecek paha,26000,2
Gudeg Mercon Bu Tinah,nasi gudeg krecek + suwir,25000,3
Gudeg Mercon Bu Tinah,nasi gudeg krecek paha + telur,32000,4
Gudeg Mercon Bu Tinah,nasi gudeg krecek ati ampela + telur,28000,5
Bowl-Ling Fruit Bar & Kitchen Concat,durio ling (sup buah dengan kuah durian),28600,1
Bowl-Ling Fruit Bar & Kitchen Concat,mellow ling (sup buah dengan kuah melon),29700,2
Bowl-Ling Fruit Bar & Kitchen Concat,red ling (sup buah dengan kuah strawberry),29700,3
Bowl-Ling Fruit Bar & Kitchen Concat,pitaya bowl,38500,4
Bowl-Ling Fruit Bar & Kitchen Concat,chicken caesar salad,38500,5
Nasi Bebek Sanjay,paket hemat sanjay + nasi,15000,1
Nasi Bebek Sanjay,bebek sanjay besar,21000,2
Nasi Bebek Sanjay,ayam sanjay negeri,12000,3
Nasi Bebek Sanjay,ayam sanjay kampung,20000,4
Nasi Bebek Sanjay,rempela,5000,5
Nasi Bebek Mbak Desi,nasi putih bebek,28000,1
Nasi Bebek Mbak Desi,nasi putih ayam,15000,2
Nasi Bebek Mbak Desi,kubis goreng,4000,3
Nasi Bebek Mbak Desi,terong goreng,4000,4
Nasi Bebek Mbak Desi,es teh,3000,5
Bebek Jogja Paling Enak,paket nasi bebek,27000,1
Bebek Jogja Paling Enak,paket nasi bebek hemat,23000,2
Bebek Jogja Paling Enak,paket nasi ayam goreng,17000,3
Bebek Jogja Paling Enak,paket nasi ikan nila ,17000,4
Bebek Jogja Paling Enak,paket nasi lele goreng,14000,5
BEBEK GORENG SIMPATIK TUGU SAMBAL KOREK,bebek kampung paha,32000,1
BEBEK GORENG SIMPATIK TUGU SAMBAL KOREK,bebek kampung dada,32000,2
BEBEK GORENG SIMPATIK TUGU SAMBAL KOREK,ayam kampung paha,32000,3
BEBEK GORENG SIMPATIK TUGU SAMBAL KOREK,ayam kampung dada,32000,4
BEBEK GORENG SIMPATIK TUGU SAMBAL KOREK,ayam kampung rempelo ati,14000,5
Bebek Goreng Simpatik,bebek kampung paha,32000,1
Bebek Goreng Simpatik,bebek kampung dada,32000,2
Bebek Goreng Simpatik,ayam kampung paha,32000,3
Bebek Goreng Simpatik,ayam kampung dada,32000,4
Bebek Goreng Simpatik,ayam kampung rempelo ati,14000,5
BEBEK BALAP RESTO,paket bebek kremes,31000,1
BEBEK BALAP RESTO,paket bebek gelap gulita,39000,2
BEBEK BALAP RESTO,paket bebek bakar manis,39000,3
BEBEK BALAP RESTO,paket ayam kampung kremes,31000,4
BEBEK BALAP RESTO,paket ayam kampung bakar manis,34000,5
Bebek Goreng Pandu,paket hemat bebek,33000,1
Bebek Goreng Pandu,paket hemat ayam,31000,2
Bebek Goreng Pandu,bebek dada cabe ijo,26000,3
Bebek Goreng Pandu,ayam dada cabe ijo,23000,4
Bebek Goreng Pandu,bebek paha sambal korek,26000,5
Bebek Lemu Jogja,bebek kampung paha,32000,1
Bebek Lemu Jogja,bebek kampung dada,32000,2
Bebek Lemu Jogja,ayam kampung paha,32000,3
Bebek Lemu Jogja,ayam kampung dada,32000,4
Bebek Lemu Jogja,ayam kampung rempelo ati,14000,5
Bebek Peking Oye,bebek kampung paha,35000,1
Bebek Peking Oye,bebek kampung dada,35000,2
Bebek Peking Oye,ayam kampung paha,35000,3
Bebek Peking Oye,ayam kampung dada,35000,4
Bebek Peking Oye,ayam kampung rempelo ati,16000,5
Nasi Bebek Madura Bumbu Hitam Alif Kricak Kidul,nasi bebek bumbu hitam,28000,1
Nasi Bebek Madura Bumbu Hitam Alif Kricak Kidul,nasi ayam goreng bumbu hitam,20000,2
Nasi Bebek Madura Bumbu Hitam Alif Kricak Kidul,nasi ayam penyet,17000,3
Nasi Bebek Madura Bumbu Hitam Alif Kricak Kidul,nasi telur bumbu hitam,15000,4
Nasi Bebek Madura Bumbu Hitam Alif Kricak Kidul,nasi telur serundeng,12000,5
Gudeg Bromo Bu Tekluk,nasi suwir telur,30000,1
Gudeg Bromo Bu Tekluk,nasi suwir,28000,2
Gudeg Bromo Bu Tekluk,nasi telur,18000,3
Gudeg Bromo Bu Tekluk,nasi paha atas ayam potong,39000,4
Gudeg Bromo Bu Tekluk,nasi dada ayam potong,50000,5
Kepiting Cak Gundul,kepiting super jumbo (per ons),38000,1
Kepiting Cak Gundul,kepiting telor besar (per ons),33000,2
Kepiting Cak Gundul,kepiting telor kecil (per ons),30000,3
Kepiting Cak Gundul,udang putih (tepung / bakar),60000,4
Kepiting Cak Gundul,kerang (asam manis / mentega hitam),60000,5
Bakmie Bersahadja 77,bakmie szechuan,19500,1
Bakmie Bersahadja 77,bakmie ayam charsiu,19500,2
Bakmie Bersahadja 77,bakmie ayam cincang,17500,3
Bakmie Bersahadja 77,bakso goreng ,15000,4
Bakmie Bersahadja 77,swie kiaw chili oil,20000,5
Waroeng Yanto Jakal,nasi goreng hongkong,22000,1
Waroeng Yanto Jakal,paket kulit,18000,2
Waroeng Yanto Jakal,paket ikan kakap,20000,3
Waroeng Yanto Jakal,cumi telor asin,46000,4
Waroeng Yanto Jakal,kangkung terasi spesial,25000,5
Tjemara Noodle Bar - Prawirotaman,bali authentic,14000,1
Tjemara Noodle Bar - Prawirotaman,szechuan oriental,15000,2
Tjemara Noodle Bar - Prawirotaman,hongkong style,17000,3
Tjemara Noodle Bar - Prawirotaman,korean spicy,20000,4
Tjemara Noodle Bar - Prawirotaman,classic favorite,13000,5
Tjemara Noodle Bar - Sagan,bali authentic,14000,1
Tjemara Noodle Bar - Sagan,szechuan oriental,15000,2
Tjemara Noodle Bar - Sagan,hongkong style,17000,3
Tjemara Noodle Bar - Sagan,korean spicy,20000,4
Tjemara Noodle Bar - Sagan,classic favorite,13000,5
TjeMaRa Noodle Bar - Sleman,bali authentic,14000,1
TjeMaRa Noodle Bar - Sleman,szechuan oriental,15000,2
TjeMaRa Noodle Bar - Sleman,hongkong style,17000,3
TjeMaRa Noodle Bar - Sleman,korean spicy,20000,4
TjeMaRa Noodle Bar - Sleman,classic favorite,13000,5
Zona Seafood - Gejayan,ikan bakar jimbaran,42000,1
Zona Seafood - Gejayan,ikan bakar madu,39000,2
Zona Seafood - Gejayan,cumi goreng telur asin,29000,3
Zona Seafood - Gejayan,udang saos padang,29000,4
Zona Seafood - Gejayan,kepiting saos asam manis,79000,5
Zona Seafood - Plengkung Gading,ikan bakar jimbaran,42000,1
Zona Seafood - Plengkung Gading,ikan bakar madu,39000,2
Zona Seafood - Plengkung Gading,cumi goreng telur asin,29000,3
Zona Seafood - Plengkung Gading,udang saos padang,29000,4
Zona Seafood - Plengkung Gading,kepiting saos asam manis,79000,5
Zona Seafood - Kotabaru,ikan bakar jimbaran,42000,1
Zona Seafood - Kotabaru,ikan bakar madu,39000,2
Zona Seafood - Kotabaru,cumi goreng telur asin,29000,3
Zona Seafood - Kotabaru,udang saos padang,29000,4
Zona Seafood - Kotabaru,kepiting saos asam manis,79000,5
Zona Seafood - Jl. Magelang,ikan bakar jimbaran,42000,1
Zona Seafood - Jl. Magelang,ikan bakar madu,39000,2
Zona Seafood - Jl. Magelang,cumi goreng telur asin,29000,3
Zona Seafood - Jl. Magelang,udang saos padang,29000,4
Zona Seafood - Jl. Magelang,kepiting saos asam manis,79000,5